location,soiltype,dampingdepth,soilwater_fc_global,soilwater_sat_global,drainage_rate,deltatheta,DZF,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,soilwater_fc_1,soilwater_fc_2,soilwater_fc_3,soilwater_fc_4,soilwater_fc_5,soilwater_fc_6,soilwater_red_1,soilwater_red_2,soilwater_red_3,soilwater_red_4,soilwater_red_5,soilwater_red_6,soilwater_wp_1,soilwater_wp_2,soilwater_wp_3,soilwater_wp_4,soilwater_wp_5,soilwater_wp_6,soilwater_sat_1,soilwater_sat_2,soilwater_sat_3,soilwater_sat_4,soilwater_sat_5,soilwater_sat_6,soilwater_init_1,soilwater_init_2,soilwater_init_3,soilwater_init_4,soilwater_init_5,soilwater_init_6,bulkdensity_1,bulkdensity_2,bulkdensity_3,bulkdensity_4,bulkdensity_5,bulkdensity_6,clay_1,clay_2,clay_3,clay_4,clay_5,clay_6,carbon_1,carbon_2,carbon_3,carbon_4,carbon_5,carbon_6,ammonium_1,ammonium_2,ammonium_3,ammonium_4,ammonium_5,ammonium_6,nitrate_1,nitrate_2,nitrate_3,nitrate_4,nitrate_5,nitrate_6,sand_1,sand_2,sand_3,sand_4,sand_5,sand_6,soilwater_res_1,soilwater_res_2,soilwater_res_3,soilwater_res_4,soilwater_res_5,soilwater_res_6,macroporevolume_1,macroporevolume_2,macroporevolume_3,macroporevolume_4,macroporevolume_5,macroporevolume_6,SoilLayerDepth_1,SoilLayerDepth_2,SoilLayerDepth_3,SoilLayerDepth_4,SoilLayerDepth_5,SoilLayerDepth_6,CaCO3_1,CaCO3_2,CaCO3_3,CaCO3_4,CaCO3_5,CaCO3_6,PH_1,PH_2,PH_3,PH_4,PH_5,PH_6,BSA_1,BSA_2,BSA_3,BSA_4,BSA_5,BSA_6,LowerBoundaryConcentration,RootMaxUptakeRate,InitialDissolvedPConcentration_1,InitialDissolvedPConcentration_2,InitialDissolvedPConcentration_3,InitialDissolvedPConcentration_4,InitialDissolvedPConcentration_5,InitialDissolvedPConcentration_6,InitialAdsorbedPConcentration_1,InitialAdsorbedPConcentration_2,InitialAdsorbedPConcentration_3,InitialAdsorbedPConcentration_4,InitialAdsorbedPConcentration_5,InitialAdsorbedPConcentration_6,InitialFixedPConcentration_1,InitialFixedPConcentration_2,InitialFixedPConcentration_3,InitialFixedPConcentration_4,InitialFixedPConcentration_5,InitialFixedPConcentration_6,slimalfa_1,slimalfa_2,slimalfa_3,slimalfa_4,slimalfa_5,slimalfa_6
64062,AP5,6,0.076944733,0.359869534,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.13683447,0.113861559,0.107152843,0.062490549,0.064234637,0.064234637,0.0919018,0.077272379,0.072370273,0.045386187,0.046780053,0.046780053,0.046969131,0.0406832,0.037587704,0.028281826,0.029325469,0.029325469,0.435645604,0.400100361,0.409581935,0.343053952,0.342790199,0.342790199,0.13683447,0.113861559,0.107152843,0.062490549,0.064234637,0.064234637,1.3256,1.4428,1.4074,1.6159,1.6183,1.6183,3.997,4.1179,3.2841,2.9885,2.8451,2.8451,2.5372,1.9546,1.9673,0.1498,0.0651,0.0651,5,4,3,2,1,0,5,4,3,2,1,0,88.5271,88.9809,90.8498,94.003,94.1569,94.1569,0.041535179,0.036587256,0.03407404,0.027146425,0.027945192,0.027945192,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
64063,AP5,6,0.078746906,0.364725933,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.14604463,0.116597633,0.12319473,0.061891115,0.063502041,0.063502041,0.097989164,0.079019222,0.082805231,0.045000059,0.04626342,0.04626342,0.049933698,0.041440811,0.042415732,0.028109003,0.029024799,0.029024799,0.445609006,0.404721459,0.424249001,0.344970223,0.346232946,0.346232946,0.14604463,0.116597633,0.12319473,0.061891115,0.063502041,0.063502041,1.2929,1.4278,1.3585,1.6094,1.608,1.608,4.128,4.2117,3.6546,2.9174,2.7325,2.7325,2.6915,1.98,2.4369,0.1658,0.0691,0.0691,5,4,3,2,1,0,5,4,3,2,1,0,88.1547,88.7708,89.9183,94.1117,94.24,94.24,0.043921262,0.037182586,0.037877544,0.027019981,0.027715176,0.027715176,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
64064,AP5,6,0.069874082,0.38478248,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.158056784,0.114850065,0.150654939,0.044959659,0.047576579,0.047576579,0.105317955,0.077455733,0.100828733,0.035353472,0.036871912,0.036871912,0.052579125,0.040061401,0.051002526,0.025747284,0.026167245,0.026167245,0.465566595,0.415375276,0.455150226,0.356379523,0.367405611,0.367405611,0.158056784,0.114850065,0.150654939,0.044959659,0.047576579,0.047576579,1.22,1.3849,1.2449,1.5741,1.5596,1.5596,4.0147,4.0745,4.1638,1.3396,1.035,1.035,3.0393,2.0536,3.4331,0.1964,0.0728,0.0728,5,4,3,2,1,0,5,4,3,2,1,0,89.2096,90.0325,90.1684,97.4472,97.4655,97.4655,0.045949077,0.036028298,0.044747581,0.025421564,0.025696586,0.025696586,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
64065,AP5,6,0.094534617,0.385710336,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.184115352,0.130566931,0.199963571,0.064429354,0.070512098,0.070512098,0.124362855,0.088401487,0.13745043,0.046368686,0.0502749,0.0502749,0.064610357,0.046236044,0.07493729,0.028308019,0.030037701,0.030037701,0.475963585,0.416753365,0.478841696,0.357580677,0.363991667,0.363991667,0.184115352,0.130566931,0.199963571,0.064429354,0.070512098,0.070512098,1.1988,1.3954,1.1841,1.5744,1.5605,1.5605,4.8571,4.8206,5.4511,2.7204,2.8563,2.8563,3.1578,1.9538,4.1114,0.2148,0.0809,0.0809,5,4,3,2,1,0,5,4,3,2,1,0,85.5436,86.658,85.1742,93.7892,92.8925,92.8925,0.0560607,0.04105056,0.065103744,0.027147557,0.028432376,0.028432376,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
64066,AP5,6,0.100053864,0.39272959,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.201937228,0.138934233,0.21617366,0.073140157,0.072511073,0.072511073,0.136891498,0.09412623,0.150132638,0.051515951,0.051360784,0.051360784,0.071845768,0.049318227,0.084091617,0.029891745,0.030210495,0.030210495,0.490102704,0.423285214,0.486893287,0.362899212,0.370641051,0.370641051,0.201937228,0.138934233,0.21617366,0.073140157,0.072511073,0.072511073,1.1548,1.3768,1.1639,1.5696,1.5408,1.5408,5.0904,4.9634,5.7529,2.8315,2.9202,2.9202,3.3595,2.0898,4.3391,0.2281,0.0897,0.0897,5,4,3,2,1,0,5,4,3,2,1,0,84.4767,85.7095,83.2003,92.2176,92.4884,92.4884,0.062126173,0.04357015,0.07311665,0.028283326,0.028544309,0.028544309,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
64067,AP5,6,0.100715861,0.392938842,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.203257843,0.139962673,0.217619758,0.073810896,0.072944056,0.072944056,0.137894149,0.094844026,0.151303572,0.05192446,0.051623333,0.051623333,0.072530454,0.049725378,0.084987386,0.030038024,0.03030261,0.03030261,0.490750375,0.423938167,0.487511859,0.362838707,0.370726847,0.370726847,0.203257843,0.139962673,0.217619758,0.073810896,0.072944056,0.072944056,1.153,1.375,1.1623,1.5704,1.5406,1.5406,5.1178,4.9872,5.792,2.8658,2.9676,2.9676,3.3836,2.1071,4.367,0.2283,0.0903,0.0903,5,4,3,2,1,0,5,4,3,2,1,0,84.3425,85.583,83.0247,92.0798,92.3937,92.3937,0.062715066,0.043906059,0.073909852,0.028390715,0.028612275,0.028612275,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
64068,AP5,6,0.055803973,0.337018562,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.091157047,0.088412445,0.047188386,0.048154852,0.05057008,0.05057008,0.062530641,0.060852162,0.036598524,0.03726042,0.038937163,0.038937163,0.033904234,0.033291879,0.026008661,0.026365988,0.027304246,0.027304246,0.380181395,0.376580381,0.348488821,0.334630879,0.326214591,0.326214591,0.091157047,0.088412445,0.047188386,0.048154852,0.05057008,0.05057008,1.4912,1.5024,1.5985,1.6337,1.6619,1.6619,3.0343,3.1436,1.5119,1.859,1.7174,1.7174,2.1959,1.9991,0.1575,0.0813,0.0416,0.0416,5,4,3,2,1,0,5,4,3,2,1,0,92.8181,92.828,97.0162,96.8317,97.219,97.219,0.031275849,0.030815015,0.025588577,0.025834132,0.026514933,0.026514933,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
64069,AP5,6,0.070563277,0.340565872,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.107470664,0.103011508,0.062506644,0.063877329,0.065000301,0.065000301,0.072996731,0.070324157,0.045222721,0.046436835,0.047649957,0.047649957,0.038522798,0.037636807,0.027938798,0.02899634,0.030299613,0.030299613,0.395036925,0.382627309,0.355098001,0.336384664,0.328312352,0.328312352,0.107470664,0.103011508,0.062506644,0.063877329,0.065000301,0.065000301,1.4571,1.4978,1.5914,1.6364,1.6612,1.6612,3.4938,3.6785,2.0403,3.1772,2.8731,2.8731,2.0779,1.8753,0.2414,0.0887,0.0477,0.0477,5,4,3,2,1,0,5,4,3,2,1,0,90.2204,90.1709,94.4284,93.9039,94.5618,94.5618,0.034863993,0.034198371,0.026885275,0.027688017,0.028726023,0.028726023,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
64070,AP5,6,0.32468048,0.523744876,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.376696358,0.342479327,0.365055365,0.321973397,0.354846599,0.299335728,0.307168123,0.27672041,0.291257882,0.250118071,0.274862463,0.20995953,0.237639888,0.210961493,0.2174604,0.178262746,0.194878328,0.120583333,0.522713472,0.492028866,0.518392465,0.493917322,0.520866526,0.538090716,0.376696358,0.342479327,0.365055365,0.321973397,0.354846599,0.299335728,1.133,1.236,1.1695,1.2332,1.1705,1.051,32.2765,30.9915,32.9237,25.2864,29.9187,12.3656,3.1709,2.2526,1.4978,1.6463,0.7692,2.5164,5,4,3,2,1,0,5,4,3,2,1,0,46.8206,47.9308,44.1439,47.1433,41.2341,61.2743,0.21930545,0.1939389,0.198705701,0.160953759,0.175608615,0.103361209,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
64071,AP5,6,0.332317481,0.520306136,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.367640642,0.342175491,0.355461476,0.309223699,0.376395807,0.313580023,0.302100054,0.282252312,0.286391975,0.23838872,0.298600038,0.223600157,0.236559466,0.222329132,0.217322473,0.167553741,0.22080427,0.133620291,0.506005042,0.47407794,0.499449579,0.476317678,0.522777792,0.543209391,0.367640642,0.342175491,0.355461476,0.309223699,0.376395807,0.313580023,1.1931,1.2991,1.2402,1.3084,1.1802,1.0372,33.982,34.3925,35.4676,26.8811,34.5418,13.554,2.76,2.1826,0.9867,0.5287,0.7027,2.7917,5,4,3,2,1,0,5,4,3,2,1,0,45.2362,45.3596,42.3579,42.8412,34.9698,58.9313,0.219063754,0.206262641,0.199479573,0.150739946,0.201156055,0.11553058,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
